"","AskeladdenID","Uncal.C14Age","C14SD","C14LabCode","xcoord","ycoord","meancalyear","cent","bio01","bio04","bio05","bio06","bio12","bio15","topo01","centrank","Suit"
"170",15917,6120,90,"T-1959",324940.5808,6728568.175,7000,7000,4.4617338180542,738.786315917969,17.930362701416,-11.7146635055542,1964.78674316406,33.5961837768555,"5",18613434,0.381101995706558
"172",96505,3980,70,"Beta-72874",295207.1439,6627235.166,4444,4400,7.68249320983887,556.908752441406,17.9459667205811,-3.04999995231628,1645.24206542969,29.8751029968262,"3",278227,0.952271282672882
"173",113777,4130,30,"Beta-344210",289288,6695969,4675,4700,8.74047183990479,523.245178222656,19.0236988067627,-0.676300883293152,1847.29370117188,31.300365447998,"5",9056414.5,0.884987771511078
"176",113777,4480,30,"Beta-344211",289288,6695969,5168,5200,6.51157283782959,617.371398925781,17.75,-7.58294868469238,1796.83642578125,28.0430660247803,"5",8484640,0.700907766819
"177",175012,5970,30,"Beta-468509",284895.6883,6697070.755,6800,6800,6.08873701095581,648.6328125,17.8829975128174,-9.16901969909668,1850.37243652344,31.8456230163574,"3",6082979,0.730328559875488
"180",107943,5940,90,"Beta-41711",294675,6716320,6773,6800,5.99515628814697,680.744445800781,18.4581241607666,-9.75812339782715,1874.3193359375,32.5956954956055,"5",11418275,0.59300285577774
"181",174289,6940,30,"Beta-398705",285084.2038,6616684.694,7761,7800,4.99464178085327,689.103332519531,16.625467300415,-14.0980997085571,1692.849609375,33.4438438415527,"2",2288270.5,0.663290619850159
"184",138737,6905,25,"TRa-14857",289973.5272,6696418.933,7726,7700,5.82660961151123,686.196960449219,18.0064353942871,-10.7704477310181,1767.18273925781,34.2131385803223,"3",3538227,0.754399418830872
"187",15917,4000,90,"T-1960",324940.5808,6728568.175,4478,4500,5.88552331924438,654.804931640625,18.5303630828857,-6.80497407913208,2045.62475585938,31.5774440765381,"5",21103007.5,0.470162987709045
"188",15917,4170,90,"T-2129",324940.5808,6728568.175,4689,4700,7.00070571899414,622.898864746094,19.2303619384766,-4.50497436523438,2036.0146484375,32.4344329833984,"5",20664220.5,0.595732927322388
"190",112335,7585,95,"T-19359",319931.094,6629249.098,8385,8400,2.6003999710083,804.977233886719,16.4639225006104,-18.9188613891602,1914.615234375,34.4072189331055,"5",17029184,0.258963733911514
"191",6716,4890,60,"T-3577",291751.3381,6629398.565,5631,5600,6.91256427764893,550.371765136719,16.7129192352295,-3.70166206359863,1986.48962402344,30.7685203552246,"6",33348253.5,0.103620164096355
"192",15917,6000,100,"T-1958",324940.5808,6728568.175,6847,6800,4.50850486755371,759.140930175781,18.430362701416,-12.6468639373779,1943.85229492188,32.8195648193359,"5",18023080.5,0.396897971630096
"193",15917,5160,90,"T-2128",324940.5808,6728568.175,5917,5900,7.0236873626709,621.068603515625,19.4625644683838,-4.0146632194519,1994.40197753906,32.0539207458496,"5",19213435.5,0.626607656478882
"194",15917,6440,35,"Poz-11991",324940.5808,6728568.175,7363,7400,3.85475277900696,751.763977050781,17.8078498840332,-13.4146633148193,1951.52770996094,33.2588233947754,"5",18177161.5,0.335860520601273
"195",175012,6030,30,"Beta-477301",284895.6883,6697070.755,6872,6900,5.97869634628296,662.576049804688,17.7018184661865,-9.96901893615723,1834.52758789062,31.7353515625,"3",6010545,0.728615641593933
"197",174289,6490,30,"Beta-398706",285084.2038,6616684.694,7372,7400,5.63277864456177,648.403991699219,16.625467300415,-10.5377683639526,1672.5849609375,33.9566535949707,"2",2126854.5,0.745178818702698
"198",107943,5300,85,"Beta-41719",294684.5473,6716317.568,6087,6100,6.91087484359741,623.850341796875,18.3597507476807,-6.55975008010864,1900.9775390625,32.4489860534668,"5",11762520.5,0.676842510700226
"199",15917,4400,80,"T-1961",324940.5808,6728568.175,5018,5000,6.02624034881592,647.493103027344,18.498161315918,-6.12435150146484,2039.27136230469,31.838903427124,"5",20248737.5,0.488629579544067
"200",15917,6275,50,"TUa-5858",324940.5808,6728568.175,7202,7200,4.33109474182129,750.076110839844,18.5303630828857,-12.4146633148193,1964.55895996094,35.9583129882812,"5",18474959,0.369625896215439
"201",95608,7550,50,"Beta-285775",288997.0363,6694588.75,8362,8400,3.82622957229614,737.629516601562,16.3115901947021,-15.3884105682373,1680.63781738281,31.8233757019043,"3",2293347.5,0.59047132730484
"202",95608,6240,40,"Beta-285776",288997.0363,6694588.75,7161,7200,6.01474571228027,656.220275878906,17.75,-9.23577404022217,1768.45483398438,34.9705467224121,"3",2911761,0.773002982139587
"207",174289,6140,30,"Beta-398713",285084.2038,6616684.694,7038,7000,6.30871677398682,624.242614746094,17.2254676818848,-7.87453174591064,1677.42456054688,33.048755645752,"2",2038294.5,0.810409724712372
"208",174289,6360,30,"Beta-396831",285084.2038,6616684.694,7283,7300,5.18486022949219,678.603210449219,16.625467300415,-12.398099899292,1658.43359375,33.2428436279297,"2",2175839.5,0.70587694644928
"209",109879,6670,40,"Beta-364584",288106.9247,6703728.046,7534,7500,5.86823654174805,650.701049804688,17.585563659668,-9.21443653106689,1829.68200683594,32.2081756591797,"6",27528402.5,0.100644797086716
"210",175012,4410,40,"Poz-96369",284895.6883,6697070.755,4990,5000,7.58645153045654,545.080261230469,17.8018188476562,-2.69467687606812,1941.46691894531,29.9873085021973,"3",7232785,0.825694382190704
"211",175003,6130,40,"Poz-106881",284958.6406,6697160.238,7017,7000,6.12740278244019,631.334655761719,17.5364627838135,-7.90676784515381,1844.26928710938,31.7689800262451,"3",5379135,0.738296985626221
"215",109879,7150,0,"Beta-364585",288106.9247,6703728.046,7969,8000,4.4213695526123,708.430847167969,16.585563659668,-14.1144371032715,1806.47033691406,33.4979209899902,"6",27775242,0.0689245834946632
"216",109879,7520,40,"Beta-364583",288106.9247,6703728.046,8343,8300,3.78123354911804,728.779968261719,15.8193016052246,-15.5144367218018,1769.26782226562,32.6240501403809,"6",28146444,0.0609357580542564
"218",175012,5620,30,"Beta-477303",284895.6883,6697070.755,6392,6400,6.75691509246826,620.585998535156,18.0495986938477,-7.20241975784302,1864.57165527344,32.1685562133789,"3",6383894,0.790543973445892
"220",175012,4865,35,"Poz-106707",284895.6883,6697070.755,5595,5600,7.54816722869873,553.439086914062,17.7018184661865,-3.00241947174072,1912.80590820312,31.0658760070801,"3",6827234.5,0.837885558605194
"223",175003,5550,40,"Poz-106709",284958.6406,6697160.238,6345,6300,6.27703666687012,621.324340820312,17.5553855895996,-7.92777490615845,1830.29504394531,31.5011310577393,"3",5452064,0.762612223625183
"225",138737,7005,30,"TRa-14867",289973.5272,6696418.933,7843,7800,4.93202352523804,704.247924804688,17.2295532226562,-13.7935657501221,1800.82287597656,32.5453300476074,"3",3404610,0.63563084602356
"227",174289,9210,30,"Beta-386061",285084.2038,6616684.694,10362,10400,2.24197244644165,771.094848632812,13.5735673904419,-21.9981002807617,1717.85864257812,33.3844871520996,"2",2764687,0.364741086959839
